student_id,group,pre_test_score,post_test_score,score_improvement
1,control,3.0,24.0,21.0
3,control,3.0,2.0,-1.0
5,control,5.5,16.5,11.0
7,control,7.0,17.0,10.0
9,control,7.0,18.0,11.0
11,control,6.0,20.0,14.0
13,control,2.0,9.0,7.0
15,control,3.0,17.0,14.0
17,control,2.0,8.0,6.0
19,control,5.0,13.0,8.0
21,control,2.0,12.5,10.5
23,control,4.0,16.0,12.0
25,control,4.0,19.0,15.0
27,control,4.0,1.0,-3.0
29,control,8.0,22.0,14.0
31,control,5.0,18.5,13.5
33,control,4.0,20.0,16.0
35,control,0.0,4.0,4.0
37,control,0.0,2.0,2.0
39,control,5.0,16.0,11.0
41,control,3.0,12.0,9.0
